sub_id	dim0	dim1	param_value
0	L	10-20	10
0	L	20-30	20
0	L	30-40	30
0	L	40+	40
0	M	10-20	11
0	M	20-30	21
0	M	30-40	31
0	M	40+	41
0	H	10-20	12
0	H	20-30	22
0	H	30-40	32
0	H	40+	42
1	L	10-20	110
1	L	20-30	120
1	L	30-40	130
1	L	40+	140
1	M	10-20	111
1	M	20-30	121
1	M	30-40	131
1	M	40+	141
1	H	10-20	112
1	H	20-30	122
1	H	30-40	132
1	H	40+	142
2	L	10-20	210
2	L	20-30	220
2	L	30-40	230
2	L	40+	240
2	M	10-20	211
2	M	20-30	221
2	M	30-40	231
2	M	40+	241
2	H	10-20	212
2	H	20-30	222
2	H	30-40	232
2	H	40+	242
3	L	10-20	310
3	L	20-30	320
3	L	30-40	330
3	L	40+	340
3	M	10-20	311
3	M	20-30	321
3	M	30-40	331
3	M	40+	341
3	H	10-20	312
3	H	20-30	322
3	H	30-40	332
3	H	40+	342
